date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:06	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://nina-carducci.github.io/robots.txt		(from )
19:40:06	7890/7890	---M-Z	200	added ('OK')	text/html	etag:W/%22633efc60-1ed2%22	https://nina-carducci.github.io/	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/index.html	(from )
19:40:06	205484/205484	---M-Z	200	added ('OK')	text/css	etag:W/%22633efc60-322ac%22	https://nina-carducci.github.io/assets/bootstrap/bootstrap.css	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/assets/bootstrap/bootstrap.css	(from https://nina-carducci.github.io/)
19:40:06	5081/5081	---M-Z	200	added ('OK')	text/css	etag:W/%22633efc60-13d9%22	https://nina-carducci.github.io/assets/style.css	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/assets/style.css	(from https://nina-carducci.github.io/)
19:40:07	209719/209719	---M-Z	200	added ('OK')	application/javascript	etag:W/%22633efc60-33337%22	https://nina-carducci.github.io/assets/bootstrap/bootstrap.bundle.js	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/assets/bootstrap/bootstrap.bundle.js	(from https://nina-carducci.github.io/)
19:40:07	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Mes%20Sites%20Web/p5/code.jquery.com/jquery-3.4.1.min.js	(from https://nina-carducci.github.io/)
19:40:07	8573/8573	---M-Z	200	added ('OK')	application/javascript	etag:W/%22633efc60-217d%22	https://nina-carducci.github.io/assets/maugallery.js	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/assets/maugallery.js	(from https://nina-carducci.github.io/)
19:40:08	315/315	---M-Z	200	added ('OK')	application/javascript	etag:W/%22633efc60-13b%22	https://nina-carducci.github.io/assets/scripts.js	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/assets/scripts.js	(from https://nina-carducci.github.io/)
19:40:08	721/721	---M--	200	added ('OK')	image/png	etag:%22633efc60-2d1%22	https://nina-carducci.github.io/assets/images/instagram.png	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/assets/images/instagram.png	(from https://nina-carducci.github.io/)
19:40:13	2156335/2156335	---M--	200	added ('OK')	image/png	etag:%22633efc60-20e72f%22	https://nina-carducci.github.io/assets/images/nina.png	C:/Mes%20Sites%20Web/p5/nina-carducci.github.io/assets/images/nina.png	(from https://nina-carducci.github.io/)
